"idOcc","catalogNumber","recordedBy","occurrenceID","recordNumber","otherCatalogNumbers","individualCount","preparations","occurrenceRemarks"
"idOcc_39","RB00642849","L. Sylvestre; D. P. Costa; J. C. Gomes & A. S. Mesquita","urn:catalog:JBRJ:RB:642849","445","RB 293627",NA,NA,"Terrestre na mata."
"idOcc_40","RB00679452","M.L.Vilela; et al.","urn:catalog:JBRJ:RB:679452","13","RB 348151",NA,NA,"Erva sobre pedras as margens da cachoeira. Frondes de coloracao  verde intenso."
"idOcc_41","RB00698255","Kristin Baber; J. Wesenberg, O. Thier","urn:catalog:JBRJ:RB:698255","KB542","RB 540463",NA,NA,NA
"idOcc_42","RB00679239","J, M. A. Braga; et  al.","urn:catalog:JBRJ:RB:679239","3853","RB 530995",NA,NA,"Terricola e ciofila. Soros castanho-esverdeados. Margem de rio."
"idOcc_43","RB01181411","C. Baez; Patrícia da Rosa, Thalis Lima, Raquel Negrão, Lucas moraes, Daniel Maurenza","urn:catalog:JBRJ:RB:1181411","667","RB 660796",NA,NA,"Epífita em tronco caído. Caules verdes, folhas dicolores. Soros castanhos."
"idOcc_44","RB00642904","L. Sylvestre; D.P. Costa, J.C. Gomes, A.S. Mesquita.","urn:catalog:JBRJ:RB:642904","525","RB 295504",NA,NA,"Terresetre ás margens da trilha."
"idOcc_45","RB00737433","C. Mynssen; et al.","urn:catalog:JBRJ:RB:737433","103","RB 559307",NA,NA,"Erva rupícola, ciófila, ripária"
"idOcc_46","RB00641126","Raulino Reitz","urn:catalog:JBRJ:RB:641126","488","RB 49267",NA,NA,"Rupestre"
"idOcc_47","RB00642788","A. B. Joly","urn:catalog:JBRJ:RB:642788","816","RB 87713",NA,NA,"Terrestre ou sobre pedras."
"idOcc_48","RB00642814","Gurgel","urn:catalog:JBRJ:RB:642814","80","RB 8040",NA,NA,NA
"idOcc_49","RB00642844","M. G. Bovini; L. C. Giordano, M. Nadruz, J. V. Barros & R. Tavares","urn:catalog:JBRJ:RB:642844","1987","RB 353938",NA,NA,"Terrestre umbrófila"
"idOcc_50","RB00641148","A.C. Brade","urn:catalog:JBRJ:RB:641148","8240","RB 168589",NA,NA,NA
"idOcc_51","RB00702285","A. Korte; A. Kniess","urn:catalog:JBRJ:RB:702285","814","RB 542815",NA,NA,"Epífita (Florística IFFSC 518)."
"idOcc_52","RB00642854","F. R. Nonato; C. M. Mynssen & M. Guerra-Santos","urn:catalog:JBRJ:RB:642854","697","RB 375594",NA,NA,"Rupícola."
"idOcc_53","RB00641138","R. Reitz","urn:catalog:JBRJ:RB:641138","C.1910","RB 63498",NA,NA,"Terrestre"
"idOcc_54","RB00642839","Rolf A. Engelmann","urn:catalog:JBRJ:RB:642839","RE236","RB 421599",NA,NA,"Epilithic"
"idOcc_55","RB00698252","Rolf A. Engelmann; Oliver Thier","urn:catalog:JBRJ:RB:698252","RE0668","RB 540460",NA,NA,NA
"idOcc_56","RB00702404","A. Korte; A. Kniess","urn:catalog:JBRJ:RB:702404","4548","RB 542924",NA,NA,"Florística(Rupícola)"
"idOcc_57","RB00737441","L. Sylvestre","urn:catalog:JBRJ:RB:737441","1237","RB 559315",NA,NA,"Erva rupícola"
"idOcc_58","31941","A.Salino","BRA:IF:SPSF:0000031941","7230",NA,NA,NA,"COLETA: XLS: SPSFAntigo;"
"idOcc_59","C0672585F",NA,"e98aca1e-5223-4d95-a381-05fa78ff6f63",NA,NA,NA,NA,NA
